Gracz,Gra 1,Gra 2,Gra 3,Gra 4,Gra 5,Gra 6,Gra 7,Gra 8,Gra 9,Gra 10,Suma
NeJJmak,4,6,6,5,5,6,0,6,2,8,48
Jakub,6,4,3,6,1,6,6,3,5,6,46
boomer,5,6,6,6,7,3,1,5,0,0,39
Monika,1,6,1,8,4,6,0,5,2,1,34
Cortez,4,2,4,4,4,1,1,6,5,1,32
Slowianka,4,0,5,4,4,4,1,4,4,2,32
Zelka,4,1,7,4,6,6,-1,5,2,-2,32
Kubson,1,4,5,2,2,5,7,2,4,-1,31
WildBoy,0,4,4,1,0,3,0,2,1,0,15
andrzej,0,4,8,2,0,0,0,0,0,0,14
Szoszonix,0,0,0,0,0,0,0,6,4,0,10
lascik,0,0,0,0,8,0,0,0,0,0,8
jakubson,4,0,0,0,0,0,0,0,0,0,4
Szsz,0,0,0,0,0,0,1,0,0,0,1
Dawid,0,0,0,0,0,0,0,0,0,-1,-1
